,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
0,CIUDAD AUTÓNOMA DE BUENOS AIRES,CIUDAD AUTÓNOMA DE BUENOS AIRES,3121707,1406735,98.0,98.8,78.5,90.0,54.0,34.5,96.8,16.2,-34.61449,-58.44585
1,BUENOS AIRES,ALMIRANTE BROWN,584827,187107,54.4,40.6,61.0,82.5,74.5,10.4,94.2,39.1,-34.83557,-58.3674
2,BUENOS AIRES,AVELLANEDA,367554,134851,96.4,80.3,71.7,85.1,65.5,20.5,96.2,28.0,-34.67821,-58.34112
3,BUENOS AIRES,BERAZATEGUI,358712,116419,89.8,75.9,62.4,85.9,72.8,11.7,95.9,36.0,-34.81797,-58.15526
4,BUENOS AIRES,ESTEBAN ECHEVERRÍA,338480,108363,60.7,49.0,55.9,81.9,73.2,13.6,92.8,41.4,-34.83121,-58.47697
5,BUENOS AIRES,JOSÉ M. EZEIZA,201511,62802,49.3,35.0,50.0,76.0,74.7,11.7,93.3,40.5,-34.87582,-58.56484
6,BUENOS AIRES,FLORENCIO VARELA,496433,146253,82.9,45.7,42.4,77.1,74.0,8.4,91.8,47.5,-34.87787,-58.25864
7,BUENOS AIRES,GENERAL SAN MARTÍN,450575,161480,97.1,75.2,68.2,83.4,65.2,21.3,95.1,31.0,-34.55265,-58.56431
8,BUENOS AIRES,HURLINGHAM,185641,63547,44.7,55.5,72.6,85.5,68.0,15.6,96.0,31.8,-34.59921,-58.64969
9,BUENOS AIRES,ITUZAINGÓ,180232,62587,25.9,38.1,73.5,87.0,72.2,12.3,97.0,26.0,-34.636,-58.68876
10,BUENOS AIRES,JOSÉ C. PAZ,326992,98119,15.0,8.2,37.0,76.4,74.6,10.6,91.7,46.6,-34.51188,-58.77767
11,BUENOS AIRES,LA MATANZA,1841247,576586,90.5,57.6,52.3,78.9,69.1,16.1,92.4,46.0,-34.77016,-58.62545
12,BUENOS AIRES,LANÚS,461267,167953,96.1,56.9,73.4,86.0,67.4,18.8,95.5,28.0,-34.70578,-58.39545
13,BUENOS AIRES,LOMAS DE ZAMORA,690323,234615,94.3,46.3,60.7,81.5,72.2,14.4,94.3,37.8,-34.75547,-58.42408
14,BUENOS AIRES,MALVINAS ARGENTINAS,350674,107589,13.8,9.2,50.4,81.6,70.6,12.8,93.7,40.3,-34.4873,-58.71213
15,BUENOS AIRES,MERLO,582486,182654,41.5,39.0,42.6,78.8,73.9,10.9,93.8,46.4,-34.71089,-58.74188
16,BUENOS AIRES,MORENO,576632,181244,35.9,31.8,30.9,75.2,76.1,10.4,93.2,50.2,-34.61062,-58.81092
17,BUENOS AIRES,MORÓN,331183,128619,89.5,78.8,80.8,88.9,66.0,19.4,96.9,22.3,-34.64914,-58.61984
18,BUENOS AIRES,QUILMES,633391,214681,94.9,77.2,60.1,81.3,72.6,13.6,94.7,35.7,-34.73501,-58.27689
19,BUENOS AIRES,SAN FERNANDO,171616,60344,96.6,92.4,65.4,82.0,64.7,20.8,95.6,30.8,-34.15127,-58.54595
20,BUENOS AIRES,SAN ISIDRO,297282,110559,97.9,93.9,77.2,88.8,69.0,19.6,96.5,19.2,-34.48695,-58.53726
21,BUENOS AIRES,SAN MIGUEL,328835,109322,42.8,48.8,57.4,83.1,68.1,18.2,94.6,35.6,-34.55209,-58.69171
22,BUENOS AIRES,TIGRE,446949,147150,72.6,34.0,51.0,86.6,70.0,16.4,95.1,31.1,-34.38159,-58.59945
23,BUENOS AIRES,TRES DE FEBRERO,364176,136658,96.5,93.6,80.9,86.0,63.3,23.3,96.2,27.1,-34.59598,-58.57909
24,BUENOS AIRES,VICENTE LÓPEZ,282281,114743,98.6,98.0,81.2,91.5,64.7,23.7,96.5,13.5,-34.52651,-58.50447
25,BUENOS AIRES,ADOLFO ALSINA,17552,7182,90.0,49.0,73.3,80.7,68.9,15.2,96.4,27.2,-37.19634,-63.05601
26,BUENOS AIRES,ADOLFO GONZALES CHAVES,12914,5119,90.9,52.4,66.2,78.3,68.1,15.5,97.3,30.8,-37.96423,-60.24908
27,BUENOS AIRES,ALBERTI,12982,4960,70.8,75.2,56.1,78.6,67.9,18.6,93.7,22.9,-35.03638,-60.28287
28,BUENOS AIRES,ARRECIFES,32215,11695,95.1,72.7,56.4,79.4,71.1,15.3,95.8,36.6,-34.01132,-60.06276
29,BUENOS AIRES,AYACUCHO,21977,8329,87.7,81.1,65.2,73.9,63.9,16.2,96.6,26.9,-37.03478,-58.44258
30,BUENOS AIRES,AZUL,75905,28364,92.6,79.9,74.7,75.6,68.0,17.2,94.9,28.5,-36.78577,-59.69665
31,BUENOS AIRES,BAHÍA BLANCA,336574,132118,96.3,82.8,80.6,85.2,65.2,23.0,96.3,27.0,-38.58085,-62.16569
32,BUENOS AIRES,BALCARCE,48982,18131,90.5,80.8,64.0,75.3,67.1,18.1,96.3,26.3,-37.71427,-58.27208
33,BUENOS AIRES,BARADERO,40002,13703,93.0,66.8,50.6,75.2,69.0,12.3,96.2,22.4,-33.93219,-59.49295
34,BUENOS AIRES,BENITO JUÁREZ,22292,8056,89.8,64.9,76.2,73.2,62.5,16.8,94.9,26.5,-37.58528,-59.8883
35,BUENOS AIRES,BERISSO,100930,34728,91.1,49.4,58.8,81.6,75.5,10.5,96.3,32.1,-34.90946,-57.82839
36,BUENOS AIRES,BOLÍVAR,37594,14802,91.6,78.0,64.9,73.8,63.6,21.4,95.6,29.5,-36.29822,-61.14968
37,BUENOS AIRES,BRAGADO,46504,17473,86.5,68.6,66.4,84.4,70.7,16.4,93.8,27.0,-35.06109,-60.60423
38,BUENOS AIRES,BRANDSEN,32448,11395,62.9,46.7,38.5,67.6,70.3,15.1,95.9,30.2,-35.22211,-58.17607
39,BUENOS AIRES,CAMPANA,110566,37455,89.4,53.7,58.9,79.5,68.5,16.3,96.3,29.1,-34.1382,-58.88302
40,BUENOS AIRES,CAÑUELAS,70684,23469,33.1,26.5,28.9,76.4,74.2,12.5,94.3,38.4,-35.14503,-58.69078
41,BUENOS AIRES,CAPITÁN SARMIENTO,15965,5752,92.2,89.8,66.7,82.5,65.3,20.2,96.9,25.6,-34.14971,-59.8548
42,BUENOS AIRES,CARLOS CASARES,23100,9198,74.2,80.6,64.1,80.9,67.5,15.8,96.6,30.5,-35.74966,-61.37375
43,BUENOS AIRES,CARLOS TEJEDOR,14079,4990,65.3,8.9,47.6,80.1,62.4,16.4,92.7,27.3,-35.37949,-62.42956
44,BUENOS AIRES,CARMEN DE ARECO,17499,6155,84.5,56.5,50.7,74.6,66.8,17.6,94.7,30.2,-34.4068,-59.88424
45,BUENOS AIRES,CASTELLI,9594,3548,81.4,77.8,54.4,76.7,62.9,17.3,96.4,22.5,-36.04167,-57.65706
46,BUENOS AIRES,CHACABUCO,52731,20147,92.1,81.7,60.8,79.0,67.2,18.9,95.8,31.5,-34.6184,-60.35393
47,BUENOS AIRES,CHASCOMÚS,42452,15685,73.3,62.3,55.8,79.6,67.5,17.6,97.0,30.4,-35.61877,-57.90432
48,BUENOS AIRES,CHIVILCOY,70839,27623,82.1,75.3,68.4,81.4,65.8,20.5,96.2,32.7,-34.91571,-59.95848
49,BUENOS AIRES,COLÓN,27504,10015,81.8,73.7,57.4,76.1,73.7,13.3,96.2,32.9,-33.88602,-61.06337
50,BUENOS AIRES,CORONEL DE MARINA LEONARDO ROSALES,67503,23520,95.6,76.4,80.5,89.0,57.9,26.5,96.2,21.1,-38.84883,-61.83604
51,BUENOS AIRES,CORONEL DORREGO,15968,6332,83.7,71.7,73.5,77.2,66.8,16.2,95.9,32.0,-38.67048,-61.09565
52,BUENOS AIRES,CORONEL PRINGLES,24420,9349,90.0,78.3,62.7,79.7,67.6,15.7,95.6,33.7,-38.14774,-61.26466
53,BUENOS AIRES,CORONEL SUÁREZ,42110,16727,87.0,53.7,78.3,81.9,72.0,16.0,96.1,27.2,-37.53255,-61.88931
54,BUENOS AIRES,DAIREAUX,18422,6748,85.8,68.1,52.3,78.7,64.1,19.8,94.7,23.8,-36.64055,-61.89142
55,BUENOS AIRES,DOLORES,32032,11617,71.6,54.7,57.6,77.4,70.0,14.8,95.3,21.8,-36.39866,-57.63261
56,BUENOS AIRES,ENSENADA,63997,22495,94.6,60.4,55.6,81.4,73.2,10.4,97.2,33.1,-34.84225,-57.97893
57,BUENOS AIRES,ESCOBAR,256268,82557,27.3,21.5,40.6,81.9,71.8,14.8,93.5,35.7,-34.32872,-58.77113
58,BUENOS AIRES,EXALTACIÓN DE LA CRUZ,40159,13775,57.1,44.9,45.8,73.8,67.8,15.9,95.8,34.4,-34.29515,-59.15591
59,BUENOS AIRES,FLORENTINO AMEGHINO,10790,3715,88.0,74.8,64.1,79.0,67.4,17.5,91.4,20.9,-34.8739,-62.40135
60,BUENOS AIRES,GENERAL ALVARADO,45526,16832,87.8,68.0,53.5,67.5,69.5,14.4,94.9,36.4,-38.20271,-58.07225
61,BUENOS AIRES,GENERAL ALVEAR,13031,3921,85.3,67.5,61.6,76.7,52.1,11.6,96.8,18.2,-36.03452,-60.13336
62,BUENOS AIRES,GENERAL ARENALES,16350,6441,86.4,52.7,65.3,81.5,73.3,15.9,96.5,26.1,-34.23746,-61.2838
63,BUENOS AIRES,GENERAL BELGRANO,20791,7951,83.1,43.5,63.7,76.3,65.7,18.9,96.3,31.3,-35.83497,-58.69805
64,BUENOS AIRES,GENERAL GUIDO,3174,1233,79.2,5.5,47.2,66.3,65.5,10.7,94.6,18.4,-36.66598,-57.99578
65,BUENOS AIRES,GENERAL JUAN MADARIAGA,22624,8241,53.5,55.1,51.9,71.8,67.5,14.1,96.5,40.3,-37.15321,-57.23079
66,BUENOS AIRES,GENERAL LA MADRID,11618,4622,75.3,28.8,63.0,81.5,70.7,11.8,96.6,25.7,-37.35571,-61.34424
67,BUENOS AIRES,GENERAL LAS HERAS,18022,6228,59.4,35.2,40.9,76.5,63.0,18.2,95.6,28.0,-34.90943,-58.99587
68,BUENOS AIRES,GENERAL LAVALLE,4870,1697,59.9,42.2,31.3,68.5,76.0,8.2,96.5,33.6,-36.65189,-56.94227
69,BUENOS AIRES,GENERAL PAZ,14207,5240,81.9,60.2,51.9,67.4,65.0,18.1,96.6,34.3,-35.4662,-58.39001
70,BUENOS AIRES,GENERAL PINTO,12941,4848,84.3,73.3,45.5,62.4,67.7,14.9,92.7,32.5,-34.66831,-62.03975
71,BUENOS AIRES,GENERAL PUEYRREDÓN,667082,259623,91.8,86.9,75.7,84.1,64.8,21.3,95.3,26.0,-37.96568,-57.74314
72,BUENOS AIRES,GENERAL RODRÍGUEZ,142709,45922,26.1,23.6,23.4,66.0,78.6,9.5,94.1,49.1,-34.65035,-58.98795
73,BUENOS AIRES,GENERAL VIAMONTE,22649,7520,52.3,63.7,48.1,79.3,67.9,15.3,86.9,33.1,-34.99757,-61.0502
74,BUENOS AIRES,GENERAL VILLEGAS,35251,12830,30.9,47.2,27.2,78.7,67.6,15.8,93.4,34.0,-34.76874,-62.95355
75,BUENOS AIRES,GUAMINÍ,11801,4656,86.0,62.2,64.7,80.4,66.0,16.3,96.6,22.1,-36.89055,-62.41877
76,BUENOS AIRES,HIPÓLITO YRIGOYEN,10661,3911,88.1,76.0,73.8,77.4,64.8,17.2,94.6,16.0,-36.25933,-61.66009
77,BUENOS AIRES,JUNÍN,103787,39095,91.2,85.5,62.8,84.0,65.9,20.4,95.5,23.5,-34.54613,-61.00549
78,BUENOS AIRES,LA COSTA,100689,38243,26.5,68.2,39.8,75.9,62.5,22.0,94.1,45.1,-36.6782,-56.71891
79,BUENOS AIRES,LA PLATA,768470,298336,87.6,68.3,68.0,84.7,67.3,19.9,95.9,27.3,-35.00349,-58.01803
80,BUENOS AIRES,LAPRIDA,11646,4424,91.2,78.5,76.2,81.3,69.6,15.1,95.2,18.1,-37.51555,-60.76806
81,BUENOS AIRES,LAS FLORES,27239,10230,90.2,70.6,64.6,66.2,71.6,15.3,94.5,30.8,-36.0157,-59.17697
82,BUENOS AIRES,LEANDRO N. ALEM,17266,6591,64.5,76.0,62.9,73.8,68.5,17.7,95.3,35.4,-34.49796,-61.61293
83,BUENOS AIRES,LEZAMA,6221,2418,85.3,78.2,65.4,78.4,63.8,18.7,97.7,20.0,-35.84942,-57.89575
84,BUENOS AIRES,LINCOLN,45506,17592,72.3,62.3,63.9,80.7,66.9,18.4,95.1,28.2,-35.07038,-61.68276
85,BUENOS AIRES,LOBERÍA,18243,6847,86.7,75.7,64.5,71.7,66.1,15.1,95.7,33.4,-38.0897,-58.69397
86,BUENOS AIRES,LOBOS,41760,14900,61.3,29.6,59.6,83.3,66.7,16.2,95.2,35.2,-35.21956,-59.14581
87,BUENOS AIRES,LUJÁN,111008,39254,56.5,37.2,61.1,79.3,68.4,18.0,95.8,29.4,-34.56762,-59.15851
88,BUENOS AIRES,MAGDALENA,26830,7765,76.7,53.6,32.0,80.0,51.6,16.5,95.9,22.7,-35.18495,-57.68639
89,BUENOS AIRES,MAIPÚ,11323,4406,92.6,72.5,60.6,72.7,67.1,13.5,97.9,27.5,-36.88657,-57.58617
90,BUENOS AIRES,MAR CHIQUITA,33110,12375,58.8,29.5,42.7,71.3,68.2,15.9,95.7,30.2,-37.49843,-57.64362
91,BUENOS AIRES,MARCOS PAZ,67011,20790,83.0,40.1,33.5,74.0,71.0,12.8,94.1,44.7,-34.81372,-58.84806
